rank_test_score,mean_train_score,mean_test_score,param_lassocv__tol
1,0.30234541194339876,0.2921521685116687,0.04925222337791056
2,0.30229522529935104,0.2921515112953985,0.037022869206988385
3,0.302418087153801,0.29213925383826245,0.08389336334792567
4,0.3022311498162465,0.2921292840067825,0.039100023761536574
5,0.30218779746618074,0.29212691563691595,0.023589137648150616
6,0.302283281033126,0.29211680957022523,0.056792237417400734
7,0.30235823556020647,0.29211272275561273,0.13372281038573075
7,0.30235823556020647,0.29211272275561273,0.13406343673102109
9,0.30221017420121443,0.29209025373013453,0.0139494581986112
10,0.30235772914567305,0.29207411006468775,0.16042020845182473
11,0.30214582378739663,0.29207146016885327,0.0017326529663635618
12,0.30214601107527594,0.2920702421267603,0.008079896808319467
13,0.30214602992005624,0.29206752009417747,0.005369908947196362
13,0.30214602992005624,0.29206752009417747,0.005032769318663508
15,0.2958881420568976,0.28561918448841056,0.754876454020503
15,0.2958881420568976,0.28561918448841056,0.8245155098953614
15,0.2958881420568976,0.28561918448841056,0.8953268791955231
15,0.2958881420568976,0.28561918448841056,0.5486797781181629
15,0.2958881420568976,0.28561918448841056,0.610768657360848
20,0.2661741260776024,0.2557438172885208,8.376388146302439
