rank_test_score,mean_train_score,mean_test_score,param_ridge__alpha
1,0.30473083841438947,0.2911119707634652,25.734643279726892
2,0.30490609045110195,0.29092261596139535,17.973005068132498
3,0.30490787067103514,0.29091897606897604,17.881790017458105
4,0.3050721889532554,0.2904693160482276,7.03809641382708
5,0.3051007023694125,0.2902546548040199,3.225358230874412
6,0.30510404969582827,0.290206548121562,2.4257815076675993
7,0.3051070337055519,0.2901678614804636,1.528811858152725
8,0.3051072649457892,0.290132070602256,1.3706928443177686
9,0.30510841596866,0.2900798133931183,0.5564474149833967
10,0.3051090405985267,0.2900643882659689,0.0652847324330911
11,0.30510931511728645,0.2900608813642453,0.028835922101179537
12,0.3051089381486234,0.2900546491356478,0.19458738403480122
13,0.3051086962575122,0.2900438253716956,0.02532876701488075
14,0.3051086976784377,0.290041927813801,0.003002086301848449
15,0.2934832997487031,0.2853387907194894,301.04949891579656
16,0.29055242751458005,0.2830170407388123,373.03835281437284
17,0.2829310780268624,0.27657736841649405,569.8384608345687
18,0.2788825750123035,0.27300026366317454,679.8258260580077
19,0.27455772604054696,0.2691017222756656,801.6102206099949
20,0.03007435725816936,0.02952040941937739,70163.87837751601
